Unnamed: 0,situation,emotion
381,"I accidentally ate a piece of cake that my mom made for my dad as a special gift, I felt pretty bad about it.",guilty
382,I recently had to put my cat to sleep. It was an emotional day.,sad
383,I was once in a grocery store and the fire alarm went off. A lady next to me had 2 kids with her and she asked me to carry one of her kids so we can escape the grocery store. I felt that she felt comfortable around me. ,trusting
384,I am afraid of the upcoming economic crisis in the USA,afraid
385,"Last year, i went to a restaurant and they had a pinball machine.",nostalgic
386,I saw a homeless man sweating in the sun the other day and it made me thankful for what I have.,grateful
387,"I was looking forward to spending time with my friend Megan today, but I had to put it off again because I fell ill this morning.",sad
388,I went to a new restaurant with friends I hadn't seen in a long time.,excited
389,I was attacked in the street by someone who stealed my bag. I was so scared that I had a panic attack.,terrified
390,"I let my friend borrow my car last year and I got a call later that night that he crashed it and totaled it, man I was crushed by that experience.",devastated
391,When the Washington Capitals won the Stanley Cup i was in such great spirits. I ran into the streets of DC celebrating. I couldn't believe this was happening.,joyful
392,When my daughter was born I was so happy and excited.,joyful
393,I recently found out my mom was very sick. SHe has stage 4 liver cirrhosis.,sad
394,I am impress by the fact that Croatia is in the world cup final.,impressed
395,I applied to a very interesting fellowship last year at the NNSA. I had applied the year before that and had an interview and wasn't given the position. This time I thought for sure I was going to get it but I didn't even get an interview. I was so sad. ,disappointed
396,I was once was very nervous and scared when I thought my girlfriend was pregnant. Waiting to find out was what got me so scared. I found out that she wasn't and everything was okay. ,afraid
397,I was once really embarrassed on a date with a girl. I tripped and fell flat on my face!,embarrassed
398,I had a great day at work today; I really killed it!,confident
399,"One night, i hugged my wife and told her i loved her.  I went to work and got a big raise.  I rushed home to tell her.  When i got home, all of the furniture, my wife and kids were gone.",devastated
400,I was babysitting my 2 year old nephew and he tried to dive off the couch headfirst onto the floor.  I caught him by one leg.,terrified
401,My coworkers threw a party for me recently for my birthday. This was very unexpected.,surprised
402,I recently thought I saw a ghost in my house. It was horrifying to me.,terrified
403,I was felt this way when I failed passing to the 10th grade.,ashamed
404,I am so happy that France is going to the final of the soccer world cup,hopeful
405,"I have a big meeting coming up soon, and even though I am pretty well prepared, I can't help feeling like this is a big risk.",apprehensive
406,I was so surprized on the night of my graduation my parents bought me a new car!,surprised
407,Recently my refrigerator broke.  I had to throw away all of my food and spend $1400 on a new one.,sad
408,I went back to my home state to visit. It made me think of the past.,nostalgic
409,I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!,excited
410,"I stayed up later than I had planned last night and had one too many beers, so I had to call out at work today since the hangover was that bad.",guilty
411,I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,afraid
412,I was turned down an assistant training position at work. For the past 4 years I have scored higher than the actual head trainer on this test. ,disappointed
413,I remember when I won my first Starcraft match.,excited
414,I had to give a speech at work and I completely forgot what I was saying. Everyone started laughing.,embarrassed
415,I recently started in vitro treatments in hopes of getting pregnant. I have been trying forever.,hopeful
416,I was so excited to go to Universal Studios in Orlando this summer!,excited
417,I am stressed by my blood test results that I will receive tomorrow.,anxious
418,I recently applied for a job after being out of the workforce for 13 years.  I'm hoping I get it!,hopeful
419,I was so let down when i didnt get the last job i applied for.,disappointed
420,I was caring when I helped someone move out of their house,caring
